ID,CodeName,Gender,Age,Educ,BusExp,PrevFound,QFounded,PrevWork,QWorked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQR2,BQa1,BQa2,CQ1,CQ2
15,CollS15,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.850,0.906,6,15,16,27,42,11,12,19,15,36,4,4,8,16,38,8,2,69,16,6,19,32,12,6,14,10,31,4,0,5,9,28,6,2,63,-5,-4,-7,-8,4,-4,131.250,75,33,53.0,21,0.700,0.600,64.0,27.0,83.0,37.0
16,CollS16,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.890,0.906,6,9,17,19,34,8,12,14,8,24,1,5,5,11,32,4,2,65,10,10,20,32,9,9,14,10,31,1,1,6,8,25,10,0,50,-2,-4,-4,-7,-5,12,106.250,55,21,50.0,18,0.900,0.900,53.0,20.0,58.0,23.0
17,CollS17,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.932,0.914,11,10,15,10,30,9,12,9,6,20,1,3,1,5,17,4,2,60,12,7,20,32,10,7,15,13,41,2,0,5,7,22,8,0,50,3,-6,-3,-10,-5,15,93.750,43,13,52.0,20,1.200,1.500,48.0,17.0,58.0,26.0
18,CollS18,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.942,0.834,4,10,7,11,24,8,6,10,6,25,2,1,1,4,17,2,0,50,13,23,19,40,11,16,13,8,20,2,7,6,15,38,6,0,50,2,2,-4,-7,-2,9,60.000,34,10,63.0,23,1.900,2.300,49.0,17.0,91.0,39.0
19,CollS19,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.602,0.612,10,28,44,44,74,19,28,27,10,14,9,16,17,42,57,9,4,64,36,34,20,60,23,23,14,9,15,13,11,6,30,50,9,4,73,-5,-10,-5,-19,-13,4,123.333,130,56,103.0,43,0.800,0.800,117.0,50.0,142.0,62.0
20,CollS20,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.898,0.928,3,17,11,15,32,13,9,10,7,22,4,2,5,11,34,4,0,50,17,10,8,30,12,10,8,6,20,5,0,0,5,17,10,0,50,-1,3,-2,-10,2,8,106.667,50,18,41.0,11,0.800,0.600,46.0,15.0,54.0,21.0
21,CollS21,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.798,0.892,4,23,17,31,50,16,13,21,13,26,7,4,10,21,42,9,4,64,9,16,22,36,8,12,16,12,33,1,4,6,11,31,7,2,53,-8,-3,-3,-6,6,-2,138.889,88,38,61.0,25,0.700,0.700,75.0,32.0,98.0,43.0
22,CollS22,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.896,0.708,3,25,6,12,34,18,6,10,20,59,7,0,2,9,26,12,0,50,26,26,37,60,18,18,24,12,20,8,8,13,29,48,10,4,65,-2,-2,4,-8,-12,2,56.667,63,29,105.0,45,1.700,1.600,84.0,37.0,140.0,57.0
23,CollS23,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.898,0.796,1,19,15,12,36,14,12,10,6,17,5,3,2,10,28,5,2,58,20,15,34,48,15,11,22,18,38,5,4,12,21,44,15,0,50,4,-12,2,-15,-1,16,75.000,54,18,87.0,39,1.600,2.200,71.0,29.0,114.0,63.0
24,CollS24,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.892,0.782,6,7,16,20,32,6,12,14,10,31,1,4,6,11,34,7,2,63,20,24,33,54,14,18,22,12,22,6,6,11,23,43,10,2,52,2,-10,0,-14,4,8,59.259,55,23,91.0,37,1.650,1.610,73.0,30.0,120.0,48.0
25,CollS25,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.926,0.676,6,8,11,17,30,7,10,13,9,30,1,1,4,6,20,6,2,53,26,24,41,60,18,16,26,18,30,8,8,15,31,52,14,2,63,1,-2,-1,-6,-10,0,50.000,47,17,111.0,51,2.360,3.000,79.0,34.0,186.0,102.0
26,CollS26,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.928,0.860,3,14,5,12,24,10,4,10,6,25,4,1,2,7,29,5,0,50,9,16,23,36,8,13,15,9,25,1,3,8,12,33,12,0,50,-6,2,4,-8,-5,13,66.667,37,13,57.0,21,1.500,1.600,47.0,17.0,72.0,28.0
27,CollS27,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.896,0.864,4,17,7,19,34,12,7,15,11,32,5,0,4,9,26,6,2,53,20,13,17,38,15,10,13,7,18,5,3,4,12,32,3,2,66,-8,-1,7,-5,-8,1,89.474,56,22,59.0,21,1.100,1.000,58.0,22.0,61.0,23.0
28,CollS28,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.876,0.892,6,8,17,22,36,8,13,15,9,25,0,4,7,11,31,10,0,50,24,10,8,32,16,8,8,16,50,8,2,0,10,31,14,4,63,-4,1,3,-8,4,-4,112.500,56,20,62.0,30,1.100,1.500,59.0,25.0,65.0,38.0
29,CollS29,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.938,0.764,5,4,17,6,22,4,12,6,14,64,0,5,0,5,23,10,2,64,20,19,34,52,15,15,22,14,27,5,4,12,21,40,15,2,67,-4,0,-2,-13,-5,0,42.308,43,21,89.0,37,2.100,1.800,66.0,29.0,137.0,51.0
30,CollS30,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.878,0.864,4,9,5,29,34,9,5,20,26,76,0,0,9,9,26,18,0,50,11,20,22,40,9,15,16,8,20,2,5,6,13,33,5,0,50,1,-5,4,-3,-1,4,85.000,69,35,61.0,21,0.900,0.600,65.0,28.0,73.0,39.0
31,CollS31,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.900,0.796,5,11,18,16,36,10,14,12,6,17,1,4,4,9,25,3,0,50,13,16,31,42,10,12,20,18,43,3,4,11,18,43,15,2,71,-6,8,-2,-6,-8,-4,85.714,51,15,80.0,38,1.600,2.500,66.0,27.0,104.0,68.0
