ID,CodeName,Gender,Age,Educ,BusExp,PrevFound,QFounded,PrevWork,QWorked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQR2,BQa1,BQa2,CQ1,CQ2
60,CollS60,1,25,1,6,0,0,0,0,0,0,0,0.938,0.884,4,9,3,17,24,8,3,13,15,63,1,0,4,5,21,7,0,50,8,14,19,30,7,10,13,9,30,1,4,6,11,37,7,0,50,2,-1,-1,-1,-8,9,80.000,44,20,50.0,20,1.100,1.000,47.0,20.0,54.0,20.0
61,CollS61,1,20,1,0,0,0,0,0,0,0,0,0.798,0.910,9,30,17,17,44,19,13,12,13,30,11,4,5,20,45,13,2,55,12,15,13,32,10,11,11,1,3,2,4,2,8,25,4,2,53,-15,3,8,-6,-5,9,137.500,79,35,43.0,11,0.500,0.300,61.0,23.0,89.0,39.0
62,CollS62,1,18,1,0,0,0,0,0,0,0,0,0.886,0.844,3,18,11,16,34,13,9,12,5,15,5,2,4,11,32,4,0,50,11,18,29,42,9,13,20,18,43,2,5,9,16,38,11,2,52,-5,5,0,-7,-9,14,80.952,50,16,78.0,36,1.600,2.300,64.0,26.0,100.0,59.0
63,CollS63,1,20,1,1,0,0,0,0,0,0,0,0.936,0.920,12,7,7,17,26,7,7,12,10,38,0,0,5,5,19,10,0,50,12,8,15,28,9,7,12,8,29,3,1,3,7,25,2,4,71,-1,1,0,-9,-5,2,92.857,41,15,47.0,19,1.200,1.300,44.0,17.0,51.0,22.0
64,CollS64,1,19,1,0,0,0,1,1,0,0,0,0.826,0.810,4,15,14,33,44,11,11,22,22,50,4,3,11,18,41,15,0,50,24,22,14,42,15,16,11,6,14,9,6,3,18,43,9,2,55,-5,7,-2,-5,-6,7,104.762,84,40,68.0,26,0.800,0.700,76.0,33.0,90.0,45.0
65,CollS65,1,22,1,0,0,0,1,1,0,0,0,0.716,0.872,3,33,22,29,58,22,16,20,8,14,11,6,9,26,45,7,2,53,22,13,17,38,15,10,13,7,18,7,3,4,14,37,7,0,50,-16,10,2,-3,-2,5,152.632,94,36,59.0,21,0.600,0.600,77.0,29.0,105.0,41.0
66,CollS66,1,19,1,0,0,0,0,0,0,0,0,0.846,0.926,11,14,28,14,40,11,19,10,17,43,3,9,4,16,40,11,2,70,11,12,12,28,8,10,10,2,7,3,2,2,7,25,2,0,50,-7,-7,-2,-6,-4,10,142.857,75,35,37.0,9,0.500,0.300,56.0,22.0,85.0,38.0
67,CollS67,1,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.888,0.726,4,14,11,18,32,10,9,13,7,22,4,2,5,11,34,4,0,50,23,40,21,56,17,25,14,19,34,6,15,7,28,50,17,0,50,-8,3,5,-11,-1,12,57.143,50,18,103.0,47,2.100,2.600,77.0,33.0,159.0,86.0
68,CollS68,2,20,1,1,0,0,1,1,0,0,0,0.684,0.744,3,38,21,27,58,25,15,18,17,29,13,6,9,28,48,11,4,64,12,27,39,54,11,19,24,18,33,1,8,15,24,44,21,0,50,-15,-13,12,-7,-11,18,107.407,107,49,96.0,42,0.900,0.900,102.0,46.0,112.0,52.0
69,CollS69,1,19,1,0,0,0,0,0,0,0,0,0.846,0.808,4,18,10,26,40,13,9,18,14,35,5,1,8,14,35,10,2,55,14,19,29,42,10,14,18,12,29,4,5,11,20,48,13,0,50,-9,3,2,-10,-6,16,95.238,70,30,74.0,32,1.100,1.100,72.0,31.0,76.0,33.0
70,CollS70,2,31,3,4,0,0,0,0,0,0,0,0.936,0.680,6,3,11,16,24,3,9,12,12,50,0,2,4,6,25,6,0,50,32,30,18,54,20,20,14,6,11,12,10,4,26,48,10,2,63,-1,1,0,-12,-4,2,44.444,42,18,88.0,34,2.100,1.900,65.0,26.0,137.0,49.0
71,CollS71,2,23,1,3,0,0,0,0,0,0,0,0.924,0.774,6,6,9,21,30,6,9,15,15,50,0,0,6,6,20,12,2,53,26,10,26,42,17,8,17,9,21,9,2,9,20,48,7,2,71,-2,3,-3,-17,2,-3,71.429,53,23,73.0,31,1.400,1.400,63.0,27.0,87.0,36.0
72,CollS72,2,21,1,0,0,0,0,0,0,0,0,0.858,0.646,5,10,28,18,42,9,19,14,15,36,1,9,4,14,33,13,2,60,38,34,26,64,24,22,18,8,13,14,12,8,34,53,8,4,73,-1,-7,0,-24,-4,-2,65.625,73,31,110.0,46,1.500,1.500,92.0,39.0,139.0,58.0
73,CollS73,1,19,1,0,0,0,0,0,0,0,0,0.818,0.816,12,18,18,19,38,11,13,14,4,11,7,5,5,17,45,4,4,68,14,37,15,46,11,24,11,26,57,3,13,4,20,43,19,2,61,-11,-3,0,-9,8,-9,82.609,63,25,94.0,48,1.500,1.900,79.0,37.0,118.0,71.0
74,CollS74,2,22,1,0,0,0,0,0,0,0,0,0.882,0.806,4,13,7,25,34,10,6,18,20,59,3,1,7,11,32,10,0,50,11,32,23,46,9,22,15,20,43,2,10,8,20,43,10,0,50,-8,-2,10,-5,-2,7,73.913,65,31,86.0,40,1.300,1.300,76.0,36.0,100.0,46.0
75,CollS75,1,20,1,0,0,0,0,0,0,0,0,0.838,0.840,6,18,19,22,42,13,13,16,6,14,5,6,6,17,40,1,4,69,16,8,29,38,12,8,18,16,42,4,0,11,15,39,18,0,50,-11,1,-6,-2,-2,4,110.526,69,27,69.0,31,1.000,1.200,69.0,29.0,69.0,33.0
76,CollS76,1,20,1,0,0,0,0,0,0,0,0,0.804,0.896,4,18,16,28,42,11,12,19,15,36,7,4,9,20,48,7,6,71,16,16,10,32,12,12,8,4,13,4,4,2,10,31,2,2,56,-9,0,-9,-4,-4,4,131.250,83,41,48.0,16,0.600,0.400,66.0,29.0,94.0,47.0
77,CollS77,1,19,1,0,0,0,0,0,0,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
78,CollS78,1,20,0,0,0,0,0,0,0,0,0,0.740,0.912,4,26,16,32,50,17,13,20,10,20,9,3,12,24,48,12,2,64,12,11,12,26,8,8,10,4,15,4,3,2,9,35,3,2,62,-9,-1,-4,-8,6,-4,192.308,86,36,41.0,15,0.500,0.400,64.0,26.0,97.0,41.0
79,CollS79,1,21,1,0,0,0,0,0,0,0,0,0.870,0.916,5,15,20,16,38,11,15,12,7,18,4,5,4,13,34,2,2,58,11,10,15,28,9,8,11,5,18,2,2,4,8,29,4,0,50,-5,-1,0,-5,-6,11,135.714,60,22,41.0,13,0.700,0.600,51.0,18.0,67.0,25.0
80,CollS80,1,21,1,0,0,0,0,0,0,0,0,0.896,0.936,3,15,12,13,30,11,9,10,3,10,4,3,3,10,33,2,2,57,7,6,17,24,6,5,13,15,63,1,1,4,6,25,6,0,50,-9,7,-2,-6,1,5,125.000,45,15,45.0,21,1.000,1.400,45.0,18.0,45.0,25.0
81,CollS81,1,22,1,2,0,0,1,1,0,0,0,0.864,0.854,6,10,18,22,36,8,13,15,9,25,2,5,7,14,39,7,0,50,9,18,23,34,7,12,15,11,32,2,6,8,16,47,8,0,50,-4,3,1,-5,10,-5,105.882,59,23,61.0,27,1.000,1.200,60.0,25.0,62.0,29.0
82,CollS82,1,22,1,2,0,0,0,0,0,0,0,0.846,0.958,4,18,17,19,40,13,13,14,2,5,5,4,5,14,35,1,2,55,9,3,8,16,7,3,6,5,31,2,0,2,4,25,2,0,50,-5,1,0,-5,1,4,250.000,58,18,25.0,9,0.400,0.500,42.0,14.0,66.0,21.0
83,CollS83,2,21,1,2,0,0,0,0,0,0,0,0.894,0.852,12,10,10,22,32,9,8,15,13,41,1,2,7,10,31,11,0,50,8,29,13,34,6,19,9,23,68,2,10,4,16,47,14,0,50,-7,6,1,-6,-1,7,94.118,55,23,73.0,39,1.300,1.700,64.0,31.0,85.0,53.0
84,CollS84,1,21,1,0,0,0,0,0,0,0,0,0.944,0.864,12,7,7,15,24,6,7,11,9,21,5,0,4,5,21,7,0,50,18,10,22,38,13,9,16,10,26,5,1,6,12,32,6,0,50,0,-1,1,-9,-1,10,63.158,38,14,60.0,22,1.600,1.600,49.0,18.0,77.0,28.0
85,CollS85,1,22,1,8,0,0,0,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
86,CollS86,2,21,0,0,0,0,0,0,0,0,0,0.790,0.948,6,12,21,38,50,10,16,24,22,44,2,5,14,21,42,21,4,68,5,7,12,20,4,7,9,7,35,1,0,3,4,20,5,0,50,-4,-12,-2,-2,3,-1,250.000,97,47,31.0,11,0.300,0.200,64.0,29.0,108.0,51.0
87,CollS87,2,20,1,0,0,0,1,1,0,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
88,CollS88,2,20,1,0,0,0,0,0,0,0,0,0.914,0.930,2,12,20,6,30,10,14,6,12,40,2,6,0,8,27,10,2,63,8,17,4,24,7,13,4,15,63,1,4,0,5,21,7,0,50,4,-12,0,1,-1,0,125.000,52,22,44.0,20,0.900,0.900,48.0,21.0,55.0,23.0
89,CollS89,1,20,1,0,0,0,0,0,0,0,0,0.630,0.774,3,36,19,31,58,23,14,21,11,19,13,5,10,28,48,11,4,64,19,36,20,52,14,24,14,20,38,5,12,6,23,44,13,0,50,-9,-2,-5,-2,-10,12,111.538,101,43,95.0,43,0.900,1.000,98.0,43.0,104.0,43.0
90,CollS90,2,21,1,0,0,0,0,0,0,0,0,0.792,0.848,1,28,23,19,50,20,16,14,10,20,8,7,5,20,40,4,2,68,13,15,25,40,11,12,17,11,28,4,3,8,15,38,9,2,53,-8,-12,2,-7,2,3,125.000,82,32,68.0,28,0.800,0.900,75.0,30.0,88.0,34.0
91,CollS91,2,19,1,0,0,0,0,0,0,0,0,0.924,0.926,3,18,5,13,30,14,5,11,12,40,4,0,2,6,20,6,0,50,10,7,16,26,8,6,12,10,38,2,1,4,7,27,5,0,50,0,-1,1,0,4,-4,115.385,48,18,43.0,17,0.900,0.900,46.0,18.0,51.0,19.0
92,CollS92,1,21,1,1,0,0,1,1,0,0,0,0.886,0.426,5,8,25,14,36,7,17,12,15,42,1,8,2,11,31,13,4,64,28,60,42,80,18,35,27,25,31,10,25,15,50,63,25,6,78,-5,-5,0,-16,-21,-7,45.000,66,30,161.0,81,2.400,2.700,114.0,56.0,278.0,151.0
93,CollS93,1,18,1,0,0,0,0,0,0,0,0,0.916,0.816,3,15,5,14,26,10,5,11,7,27,5,0,3,8,31,7,0,50,20,27,23,50,14,19,17,7,14,6,8,6,20,40,4,0,50,-2,-1,3,-14,-3,17,52.000,41,15,77.0,27,1.900,1.800,59.0,21.0,111.0,38.0
94,CollS94,1,19,1,0,0,0,0,0,0,0,0,0.830,0.396,5,16,29,22,48,12,20,16,12,25,4,9,6,19,40,8,2,56,52,28,64,88,31,19,38,26,30,21,9,26,56,64,22,6,86,2,-12,4,-31,5,-38,54.545,81,31,176.0,88,2.200,2.700,129.0,61.0,280.0,163.0
