ID,Type,CodeName,Gender,Age,Educ,BusExp,PrevFound,Qfounded,PrevWorked,Qworked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQr2,BQa1,BQa2,CQ1,CQ2,FQ1,FQ2,CapAction,ZBalDIMI1,ZBalDIME1,ZBalDIMS1,ZBalDIMI2,ZBalDIME2,ZBalDIMS2
7093.,NE,Joe,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.856,0.734,#NULL!,10,12,27,36,8,10,18,18,50,2,2,9,13,36,14,0,50,18,34,27,54,13,23,18,15,28,5,11,9,25,46,8,4,69,0.875,0.300,0.444,0.308,0.522,0.056,66.000,67,31,98,44,1.463,1.419,82.5,37.5,120.7,53.2,43.00,41.00,36.00,1.73272,-0.03492,-0.61810,0.28283,-0.20347,-2.22835
6978.,NE,Mac,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.875,0.984,#NULL!,19,14,17,38,14,11,13,4,11,5,3,4,12,32,3,0,50,11,7,16,30,10,7,13,9,30,1,0,3,4,13,5,0,50,0.643,0.091,0.692,0.200,0.571,0.692,126.000,54,16,43,13,0.796,0.813,48.5,14.5,38.6,11.8,24.50,30.00,17.00,0.64379,-1.05879,1.04251,-0.27141,-0.01756,0.50363
7419.,NE,David,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.687,0.724,#NULL!,33,23,21,52,21,16,15,11,21,12,7,6,25,48,11,4,83,22,31,29,54,15,20,19,6,11,7,11,10,28,52,5,2,67,0.286,0.000,0.200,0.200,0.550,0.211,96.000,89,40,90,36,1.011,0.900,89.5,38.0,90.5,34.2,36.50,32.50,35.00,-1.03148,-1.50395,-2.25581,-0.27141,-0.09773,-1.56345
7522.,NE,Jerry,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.844,0.800,#NULL!,16,22,13,36,11,16,9,12,33,5,6,4,15,42,3,0,50,16,38,16,48,12,24,12,24,50,4,14,4,22,46,20,2,65,0.364,0.375,0.889,0.000,0.333,0.750,75.000,63,27,96,48,1.524,1.778,79.5,37.5,121.1,66.7,34.50,49.00,36.00,-0.66597,0.33233,2.35955,-1.30071,-0.90841,0.75116
7081.,NE,Timothy,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.908,0.916,#NULL!,9,8,21,30,8,8,14,12,40,1,0,7,8,27,13,0,50,10,14,11,28,8,11,9,5,18,2,3,2,7,25,2,0,50,0.375,0.375,0.643,0.375,0.364,0.778,107.000,50,20,40,12,0.800,0.600,45.0,16.0,36.0,9.6,35.00,23.00,19.00,-0.61266,0.33233,0.71120,0.62923,-0.79503,0.87034
6200.,NE,Lynn,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.924,0.922,#NULL!,8,10,18,30,7,9,14,12,40,1,1,4,6,20,6,0,50,8,18,8,26,6,13,7,13,50,2,5,1,8,31,7,0,50,0.714,0.333,0.500,0.167,0.692,0.429,115.000,48,18,47,21,0.979,1.167,47.5,19.5,46.5,22.8,35.00,38.00,19.00,0.97885,0.12830,-0.24590,-0.44296,0.43472,-0.62793
6925.,NE,Victor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.943,0.891,#NULL!,4,11,12,24,4,10,10,6,25,0,1,2,3,13,3,0,50,13,14,13,30,10,11,9,3,10,3,3,4,10,33,2,0,50,1.000,0.300,0.500,0.400,0.909,0.111,80.000,33,9,43,13,1.303,1.444,38.0,11.0,49.5,15.9,24.50,20.00,21.00,2.31907,-0.03492,-0.24590,0.75789,1.24583,-1.98999
6920.,NE,Jack,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.809,0.934,#NULL!,15,19,26,42,11,13,18,12,29,4,6,8,18,43,6,2,67,12,6,9,20,8,5,7,4,20,4,1,2,7,35,5,2,55,0.455,0.077,0.444,0.000,1.000,0.571,210.000,72,32,33,13,0.458,0.406,52.5,22.5,24.1,9.1,35.50,20.00,13.00,-0.23953,-1.12727,-0.61810,-1.30071,1.58597,-0.01500
6920.,NE,Jack,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.809,0.934,#NULL!,15,19,26,42,11,13,18,12,29,4,6,8,18,43,6,2,67,12,6,9,20,8,5,7,4,20,4,1,2,7,35,5,2,55,0.455,0.077,0.444,0.000,1.000,0.571,210.000,72,32,33,13,0.458,0.406,52.5,22.5,24.1,9.1,35.50,20.00,13.00,-0.23953,-1.12727,-0.61810,-1.30071,1.58597,-0.01500
6887.,NE,Troy,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.910,0.885,#NULL!,6,9,25,32,6,8,18,22,69,0,1,7,8,25,13,2,56,17,17,8,32,12,13,7,7,22,5,4,1,10,31,5,0,50,0.667,0.250,0.444,0.083,0.769,0.714,100.000,62,32,49,17,0.790,0.531,55.5,24.5,43.9,13.0,50.50,27.00,25.00,0.75548,-0.27976,-0.61810,-0.87183,0.72253,0.59792
