dimIPart1,dimEPart1,dimSPart1,intIPart1,intEPart1,intSPart1,difPart1,intPart1,dimPart1,diPart1,disPart1,VQ1,VQ2,dimPercPart1,intPercPart1,aiPercPart1,dimIPart2,dimEPart2,dimSPart2,intIPart2,intEPart2,intSPart2,difPart2,intPart2,dimPart2,diPart2,disPart2,SQ1,SQ2,dimPercPart2,intPercPart2,aiPercPart2,BQr1,BQr2,BQa1,BQa2,CQ1,CQ2,rho1,rho2,difPart1difPart2,type
7,9,14,1,0,5,30,6,12,9,0,48,18,0.4,0.2,0.5,11,9,10,4,1,3,30,8,3,4,0,41,11,0.1,0.27,0.5,0.85,0.61,44.5,14.5,38.01,8.86,0.916,0.918,1,Executive
5,10,10,0,5,4,28,9,8,6,0,45,17,0.29,0.32,0.5,6,8,20,1,0,11,34,12,26,21,0,72,38,0.76,0.35,0.5,1.6,2.24,58.5,27.5,93.6,61.47,0.894,0.874,0.82,Executive
8,10,15,2,5,5,34,12,11,3,0,57,23,0.32,0.35,0.5,8,11,11,3,4,4,30,11,3,1,0,44,14,0.1,0.37,0.5,0.77,0.61,50.5,18.5,38.98,11.26,0.882,0.902,1.13,Executive
13,10,10,5,6,5,40,16,2,2,0,58,18,0.05,0.4,0.5,7,15,20,2,7,9,42,18,18,9,0,78,36,0.43,0.43,0.5,1.34,2,68,27,91.45,54,0.84,0.836,0.95,Executive
10,12,14,2,4,5,36,11,6,4,0,53,17,0.17,0.31,0.5,13,19,14,4,10,5,46,19,11,11,0,76,30,0.24,0.41,0.5,1.43,1.76,64.5,23.5,92.49,41.47,0.882,0.82,0.78,Executive
7,10,11,1,1,4,28,6,5,6,0,39,11,0.18,0.21,0.5,6,5,7,1,0,1,18,2,3,1,0,23,5,0.17,0.11,0.5,0.59,0.45,31,8,18.28,3.64,0.93,0.966,1.56,Executive
9,5,8,1,0,1,22,2,5,1,0,29,7,0.23,0.09,0.5,10,23,15,2,12,8,50,22,19,14,2,93,43,0.38,0.44,0.64,3.21,6.14,61,25,195.62,153.57,0.958,0.77,0.44,Executive
6,5,13,1,0,4,24,5,15,7,0,44,20,0.63,0.21,0.5,10,10,10,2,3,3,30,8,0,1,0,38,8,0,0.27,0.5,0.86,0.4,41,14,35.41,5.6,0.94,0.912,0.8,Executive
7,9,16,1,2,7,32,10,16,11,2,60,28,0.5,0.31,0.66,14,21,7,6,12,3,46,21,23,15,2,92,46,0.5,0.46,0.67,1.53,1.64,76,37,116.53,60.79,0.896,0.79,0.7,Executive
6,9,14,1,2,9,32,12,19,15,2,65,33,0.59,0.38,0.53,5,17,20,1,17,9,52,27,29,24,4,112,60,0.56,0.52,0.58,1.72,1.82,88.5,46.5,152.49,84.55,0.874,0.728,0.62,Executive
14,11,7,6,5,1,32,12,10,6,0,54,22,0.31,0.38,0.5,4,18,16,0,9,8,38,17,16,10,2,73,35,0.42,0.45,0.61,1.35,1.59,63.5,28.5,85.84,45.34,0.886,0.84,0.84,Executive
10,9,13,2,2,5,32,9,7,6,2,50,18,0.22,0.28,0.56,20,19,17,10,9,15,64,34,11,11,4,113,49,0.17,0.53,0.66,2.26,2.72,81.5,33.5,184.19,91.19,0.91,0.668,0.5,Executive
17,10,10,7,2,5,40,14,14,7,0,68,28,0.35,0.35,0.5,9,4,11,2,0,2,24,4,9,2,0,37,13,0.38,0.17,0.5,0.54,0.46,52.5,20.5,28.57,9.52,0.84,0.942,1.67,Executive
9,10,9,2,2,2,28,6,2,0,0,36,8,0.07,0.21,0.5,10,13,20,4,5,9,44,18,16,9,0,78,34,0.36,0.41,0.5,2.17,4.25,57,21,123.5,89.25,0.928,0.826,0.64,Executive
6,14,11,1,4,4,31,9,11,3,1,52,21,0.35,0.29,0.52,11,25,16,3,13,6,52,22,23,17,0,97,45,0.44,0.42,0.5,1.87,2.14,74.5,33,138.97,70.71,0.905,0.778,0.6,Executive
9,4,15,2,0,6,28,8,17,10,0,53,25,0.61,0.29,0.5,17,18,19,7,9,10,54,26,3,4,0,83,29,0.06,0.48,0.5,1.57,1.16,68,27,106.49,31.32,0.92,0.762,0.52,Executive
14,7,15,4,1,6,36,11,9,7,0,56,20,0.25,0.31,0.5,11,21,21,2,11,20,64,33,32,27,4,133,69,0.5,0.52,0.69,2.38,3.45,94.5,44.5,224.44,153.53,0.886,0.682,0.56,Executive
8,7,11,0,3,4,28,7,5,5,0,40,12,0.18,0.25,0.5,7,10,7,1,1,3,26,5,4,4,0,35,9,0.15,0.19,0.5,0.88,0.75,37.5,10.5,32.81,7.88,0.918,0.928,1.08,Executive
5,7,7,0,3,4,22,7,8,5,0,37,15,0.36,0.32,0.5,14,18,24,6,7,13,56,26,16,13,0,98,42,0.29,0.46,0.5,2.65,2.8,67.5,28.5,178.78,79.8,0.924,0.758,0.39,Executive
2,9,17,0,1,7,28,8,23,13,2,61,33,0.82,0.29,0.64,12,17,15,4,7,7,44,18,7,3,0,69,25,0.16,0.41,0.5,1.13,0.76,65,29,73.52,21.97,0.91,0.83,0.64,Executive
12,4,14,4,0,5,30,9,12,6,2,53,23,0.4,0.3,0.53,20,20,10,11,11,4,52,26,8,7,0,86,34,0.15,0.5,0.5,1.62,1.48,69.5,28.5,112.77,42.13,0.906,0.748,0.58,Executive
11,16,17,5,7,13,54,25,21,14,0,100,46,0.39,0.46,0.5,23,19,16,13,10,8,58,31,11,8,0,100,42,0.19,0.53,0.5,1,0.91,100,44,100,40.17,0.75,0.72,0.93,Executive
6,9,15,1,4,4,30,9,15,3,0,54,24,0.5,0.3,0.5,9,3,12,3,0,3,24,6,12,3,0,42,18,0.5,0.25,0.5,0.78,0.75,48,21,37.33,15.75,0.906,0.936,1.25,Executive
5,8,19,0,2,8,32,10,25,14,0,67,35,0.78,0.31,0.5,12,15,11,4,5,3,38,12,7,3,2,59,21,0.18,0.32,0.58,0.88,0.6,63,28,55.48,16.8,0.888,0.884,0.84,Executive
