Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQr2,BQa1,BQa2,CQ1,CQ2
918,840,,15,13,10,32,12,10,10,4,0.13,3,3,0,6,0.19,3,0,0.5,21,6,22,38,15,6,14,13,0.34,6,0,8,14,0.37,10,0,0.5,,,,,,,0.84,42,10,65,27,1.55,2.7,53.5,18.5,82.8,49.95
944,920,,6,8,13,24,6,8,10,6,0.25,0,0,3,3,0.13,6,0,0.5,8,14,15,30,7,11,12,6,0.2,1,3,3,7,0.23,2,0,0.5,,,,,,,0.8,33,9,43,13,1.3,1.44,38,11,49.52,15.89
934,922,,6,9,16,26,6,7,13,13,0.5,0,2,3,5,0.19,4,0,0.5,13,10,14,30,10,9,11,3,0.1,3,1,3,7,0.23,2,0,0.5,,,,,,,0.87,44,18,40,10,0.91,0.56,42,14,38.18,7.78
914,932,,4,9,12,20,4,6,7,10,0.5,0,3,5,8,0.4,7,0,0.5,5,11,11,24,5,10,7,6,0.25,0,1,4,5,0.21,7,0,0.5,,,,,,,0.83,38,18,35,11,0.92,0.61,36.5,14.5,33.62,8.86
918,900,,11,6,15,28,9,6,10,11,0.39,2,0,5,7,0.25,8,0,0.5,10,26,7,34,9,18,7,20,0.59,1,8,0,9,0.26,15,0,0.5,,,,,,,0.82,46,18,63,29,1.37,1.61,54.5,23.5,74.64,37.86
822,808,,22,21,12,42,14,15,10,9,0.21,8,6,2,16,0.38,8,2,0.62,18,23,27,48,13,16,19,9,0.19,5,7,8,20,0.42,4,2,0.52,,,,,,,0.88,69,27,79,31,1.14,1.15,74,29,84.72,33.3
912,882,,4,15,10,26,4,10,7,13,0.5,0,5,3,8,0.31,7,2,0.54,10,6,27,34,7,6,19,23,0.68,3,0,8,11,0.32,13,0,0.5,,,,,,,0.76,49,23,68,34,1.39,1.48,58.5,28.5,81.18,42.13
812,806,,10,7,29,34,8,6,17,26,0.76,2,1,12,15,0.44,21,2,0.68,16,30,22,48,12,20,16,12,0.25,4,10,6,20,0.42,10,0,0.5,,,,,,,0.71,77,43,80,32,1.04,0.74,78.5,37.5,81.56,27.91
808,810,,38,7,13,40,23,7,10,29,0.73,15,0,3,18,0.45,27,2,0.63,16,28,16,46,10,19,13,11,0.24,6,9,3,18,0.39,9,2,0.63,,,,,,,0.87,89,49,77,31,0.87,0.63,83,40,71.81,25.31
908,888,,10,13,14,32,9,11,10,4,0.13,1,2,4,7,0.22,5,0,0.5,9,22,14,34,8,16,10,14,0.41,1,6,4,11,0.32,7,0,0.5,,,,,,,0.94,43,11,59,25,1.37,2.27,51,18,69.98,40.91
882,864,,7,25,14,34,6,17,11,17,0.5,1,8,3,12,0.35,12,0,0.5,15,19,19,40,12,15,13,5,0.13,3,4,6,13,0.33,5,0,0.5,,,,,,,0.85,63,29,58,18,0.92,0.62,60.5,23.5,55.7,14.59
868,892,,7,7,30,30,5,6,19,27,0.9,2,1,11,14,0.47,19,0,0.5,14,14,11,32,10,12,7,4,0.13,4,2,4,10,0.31,2,0,0.5,,,,,,,0.94,71,41,46,14,0.65,0.34,58.5,27.5,37.9,9.39
748,782,,20,37,27,58,15,24,19,14,0.24,5,13,8,26,0.45,13,0,0.5,19,28,28,52,15,18,19,5,0.1,4,10,9,23,0.44,7,0,0.5,,,,,,,1.12,98,40,80,28,0.82,0.7,89,34,72.65,23.8
832,836,,14,17,28,42,11,12,19,15,0.36,3,5,9,17,0.4,10,0,0.5,25,19,11,40,17,14,8,14,0.35,8,5,3,16,0.4,8,2,0.63,,,,,,,1.05,74,32,72,32,0.97,1,73,32,71.03,32
924,944,,9,18,8,28,8,13,7,11,0.39,1,5,1,7,0.25,8,0,0.5,10,16,2,24,8,14,2,18,0.75,2,2,0,4,0.17,2,0,0.5,,,,,,,1.17,46,18,46,22,1,1.22,46,20,46,24.44
970,826,,5,4,10,18,5,4,9,9,0.5,0,0,1,1,0.06,2,0,0.5,18,19,25,44,13,15,16,4,0.09,5,4,9,18,0.41,9,0,0.5,,,,,,,0.41,28,10,66,22,2.36,2.2,47,16,110.79,35.2
878,936,,17,13,17,34,13,9,12,5,0.15,4,4,5,13,0.38,2,0,0.5,6,16,5,20,4,12,4,16,0.8,2,4,1,7,0.35,5,0,0.5,,,,,,,1.7,52,18,43,23,0.83,1.28,47.5,20.5,39.28,26.19
898,884,,15,3,22,30,12,3,15,15,0.5,3,0,7,10,0.33,11,0,0.5,15,22,10,36,11,17,8,15,0.42,4,5,2,11,0.31,4,0,0.5,,,,,,,0.83,55,25,62,26,1.13,1.04,58.5,25.5,65.95,26.52
890,850,,14,10,22,34,10,8,16,14,0.41,4,2,6,12,0.35,6,2,0.56,22,17,23,46,16,14,16,2,0.04,6,3,7,16,0.35,5,0,0.5,,,,,,,0.74,62,28,64,18,1.03,0.64,63,23,65.03,14.79
932,840,,12,9,13,28,10,8,10,2,0.07,2,1,3,6,0.21,3,0,0.5,12,22,17,40,10,16,10,8,0.2,2,6,7,15,0.38,6,0,0.5,,,,,,,0.7,36,8,63,23,1.75,2.88,49.5,15.5,86.63,44.56
914,774,,12,8,18,30,10,7,13,9,0.3,2,1,5,8,0.27,7,0,0.5,14,25,37,54,12,18,24,18,0.33,2,7,13,22,0.41,17,0,0.5,,,,,,,0.56,47,17,94,40,2,2.35,70.5,28.5,141,67.06
916,896,,10,5,19,26,8,5,13,13,0.5,2,0,6,8,0.31,10,0,0.5,10,17,15,34,8,14,10,8,0.24,2,3,5,10,0.29,5,0,0.5,,,,,,,0.76,47,21,52,18,1.11,0.86,49.5,19.5,54.77,16.71
956,792,,5,10,10,22,4,9,9,5,0.23,1,1,1,3,0.14,0,0,0.5,19,28,23,48,14,18,16,6,0.13,5,10,7,22,0.46,8,0,0.5,,,,,,,0.46,30,8,76,28,2.53,3.5,53,18,134.27,63
850,818,,22,18,8,36,14,13,8,9,0.25,8,5,0,13,0.36,11,2,0.64,18,27,23,48,13,19,16,9,0.19,5,8,7,20,0.42,4,0,0.5,,,,,,,0.75,60,24,77,29,1.28,1.21,68.5,26.5,87.91,32.02
926,848,,7,11,17,28,6,9,13,11,0.39,1,2,4,7,0.25,5,0,0.5,16,26,16,42,12,18,12,12,0.29,4,8,4,16,0.38,8,2,0.64,,,,,,,0.67,46,18,72,30,1.57,1.67,59,24,92.35,40
824,920,,22,10,16,38,14,10,10,10,0.26,8,0,6,14,0.37,10,0,0.5,9,8,14,28,7,8,10,11,0.39,2,0,4,6,0.21,6,0,0.5,,,,,,,1.36,62,24,45,17,0.73,0.71,53.5,20.5,38.83,14.52
882,840,,6,12,21,34,6,11,14,17,0.5,0,1,7,8,0.24,13,0,0.5,21,9,22,40,15,8,14,11,0.28,6,1,8,15,0.38,9,0,0.5,,,,,,,0.85,59,25,66,26,1.12,1.04,62.5,25.5,69.92,26.52
914,944,,10,7,19,28,8,7,13,11,0.39,2,0,6,8,0.29,10,0,0.5,9,8,11,24,7,8,9,3,0.13,2,0,2,4,0.17,2,0,0.5,,,,,,,1.17,47,19,31,7,0.66,0.37,39,13,25.72,4.79
934,800,,11,10,11,26,9,8,9,1,0.04,2,2,2,6,0.23,0,0,0.5,16,21,23,46,13,14,14,5,0.11,3,7,9,19,0.41,8,0,0.5,,,,,,,0.57,33,7,70,24,2.12,3.43,51.5,15.5,109.24,53.14
890,840,,28,5,10,34,20,5,7,26,0.76,8,0,3,11,0.32,13,0,0.5,15,25,15,42,12,18,10,12,0.29,3,7,5,15,0.36,6,0,0.5,,,,,,,0.81,71,37,69,27,0.97,0.73,70,32,68.03,23.35
912,962,,14,9,11,28,11,8,7,5,0.18,3,1,4,8,0.29,4,0,0.5,9,8,5,20,7,8,5,4,0.2,2,0,0,2,0.1,4,0,0.5,,,,,,,1.4,41,13,26,6,0.63,0.46,33.5,9.5,21.24,4.38
856,828,,12,20,19,38,9,14,14,7,0.18,3,6,5,14,0.37,4,0,0.5,24,15,26,46,17,11,18,8,0.17,7,4,8,19,0.41,5,0,0.5,,,,,,,0.83,59,21,73,27,1.24,1.29,66,24,81.66,30.86
910,872,,11,14,10,30,10,10,8,6,0.2,1,4,2,7,0.23,5,0,0.5,16,10,26,38,12,8,18,16,0.42,4,2,8,14,0.37,10,0,0.5,,,,,,,0.79,43,13,68,30,1.58,2.31,55.5,21.5,87.77,49.62
808,908,,23,14,27,46,17,11,17,8,0.17,6,3,10,19,0.41,11,4,0.63,8,11,20,30,7,9,14,12,0.4,1,2,6,9,0.3,9,0,0.5,,,,,,,1.53,77,31,51,21,0.66,0.68,64,26,42.39,17.61
916,866,,8,5,22,28,7,5,16,20,0.71,1,0,6,7,0.25,11,2,0.71,12,13,22,36,10,11,14,9,0.25,2,2,8,12,0.33,12,0,0.5,,,,,,,0.78,57,29,57,21,1,0.72,57,25,57,18.1
942,934,,9,10,11,26,7,9,10,4,0.15,2,1,1,4,0.15,2,0,0.5,10,5,15,24,8,5,11,9,0.38,2,0,4,6,0.25,6,0,0.5,,,,,,,1.08,34,8,39,15,1.15,1.88,36.5,11.5,41.87,21.56
936,866,,10,5,16,26,8,5,13,13,0.5,2,0,3,5,0.19,4,0,0.5,13,19,19,38,10,14,14,4,0.11,3,5,5,13,0.34,2,0,0.5,,,,,,,0.68,44,18,55,17,1.25,0.94,49.5,17.5,61.88,16.53
808,650,,18,22,28,48,14,15,19,9,0.19,4,7,9,20,0.42,7,0,0.5,20,33,31,68,15,17,17,13,0.19,5,16,14,35,0.51,13,2,0.71,,,,,,,0.71,77,29,118,50,1.53,1.72,97.5,39.5,149.42,68.1
860,964,,15,8,16,34,10,7,10,8,0.24,5,1,6,12,0.35,6,0,0.5,8,10,3,20,7,10,3,10,0.5,1,0,0,1,0.05,2,0,0.5,,,,,,,1.7,54,20,31,11,0.57,0.55,42.5,15.5,24.4,8.53
844,838,,16,20,24,44,13,14,17,7,0.16,3,6,7,16,0.36,5,2,0.52,27,9,15,38,17,8,12,16,0.42,10,1,3,14,0.37,16,2,0.53,,,,,,,1.16,69,25,70,32,1.01,1.28,69.5,28.5,70.51,36.48
898,876,,10,22,9,32,8,16,8,16,0.5,2,6,1,9,0.28,9,2,0.66,9,24,13,34,7,16,11,14,0.41,2,8,2,12,0.35,12,0,0.5,,,,,,,0.94,59,27,60,26,1.02,0.96,59.5,26.5,60.51,25.52
782,878,,23,15,23,44,15,11,14,7,0.16,8,4,9,21,0.48,6,0,0.5,21,17,13,38,15,13,10,7,0.18,6,4,3,13,0.34,5,0,0.5,,,,,,,1.16,72,28,58,20,0.81,0.71,65,24,52.36,17.14
896,918,,7,20,17,34,6,15,13,11,0.32,1,5,4,10,0.29,5,0,0.5,16,4,16,28,11,4,13,11,0.39,5,0,3,8,0.29,7,0,0.5,,,,,,,1.21,55,21,47,19,0.85,0.9,51,20,43.58,18.1
854,852,,12,17,27,42,11,12,19,15,0.36,1,5,8,14,0.33,10,2,0.6,14,12,23,36,11,10,14,9,0.25,3,2,9,14,0.39,13,0,0.5,,,,,,,1.17,73,31,59,23,0.81,0.74,66,27,53.34,20.03
898,830,,20,9,15,34,15,9,10,11,0.32,5,0,5,10,0.29,5,0,0.5,27,20,14,46,18,15,10,8,0.17,9,5,4,18,0.39,9,2,0.54,,,,,,,0.74,55,21,74,28,1.35,1.33,64.5,24.5,86.78,32.67
922,814,,18,7,13,32,14,7,11,10,0.31,4,0,2,6,0.19,6,0,0.5,11,29,27,46,8,20,18,14,0.3,3,9,9,21,0.46,6,0,0.5,,,,,,,0.7,48,16,81,35,1.69,2.19,64.5,25.5,108.84,55.78
757,920,,15,17,39,51,10,14,25,24,0.47,5,3,14,22,0.43,20,5,0.69,13,6,14,24,9,5,10,6,0.25,4,1,4,9,0.38,3,0,0.5,,,,,,,2.13,102,51,39,15,0.38,0.29,70.5,33,26.96,9.71
846,932,,8,26,19,38,8,17,13,13,0.34,0,9,6,15,0.39,12,0,0.5,11,8,14,28,9,8,11,5,0.18,2,0,3,5,0.18,4,0,0.5,,,,,,,1.36,66,28,38,10,0.58,0.36,52,19,29.94,6.79
836,888,,13,19,20,38,7,14,14,4,0.11,6,5,6,17,0.45,1,4,0.66,17,4,15,30,12,4,10,12,0.4,5,0,5,10,0.33,5,0,0.5,,,,,,,1.27,63,25,52,22,0.83,0.88,57.5,23.5,47.46,20.68
930,946,,9,9,15,28,8,8,12,8,0.29,1,1,3,5,0.18,4,0,0.5,7,9,11,22,5,8,9,5,0.23,2,1,2,5,0.23,1,0,0.5,,,,,,,1.27,41,13,32,10,0.78,0.77,36.5,11.5,28.49,8.85
940,882,,3,11,15,24,3,9,12,12,0.5,0,2,3,5,0.21,4,0,0.5,8,15,21,34,8,12,14,8,0.24,0,3,7,10,0.29,11,0,0.5,,,,,,,0.71,41,17,52,18,1.27,1.06,46.5,17.5,58.98,18.53
942,850,,13,7,9,24,10,6,8,6,0.25,3,1,1,5,0.21,4,0,0.5,21,10,24,40,15,8,17,11,0.28,6,2,7,15,0.38,6,0,0.5,,,,,,,0.6,35,11,66,26,1.89,2.36,50.5,18.5,95.23,43.73
846,942,,20,16,15,38,14,12,10,4,0.11,6,4,5,15,0.39,3,0,0.5,8,8,11,22,7,7,8,2,0.09,1,1,3,5,0.23,4,0,0.5,,,,,,,1.73,57,19,29,7,0.51,0.37,43,13,21.88,4.79
774,888,,8,24,31,48,7,17,17,24,0.5,1,7,14,22,0.46,20,4,0.81,16,14,8,28,10,11,6,5,0.18,6,3,2,11,0.39,7,2,0.64,,,,,,,1.71,98,50,46,18,0.47,0.36,72,34,33.8,12.24
918,926,,8,10,18,30,8,9,13,9,0.3,0,1,5,6,0.2,9,0,0.5,10,7,17,28,8,7,13,11,0.39,2,0,4,6,0.21,6,0,0.5,,,,,,,1.07,45,15,45,17,1,1.13,45,16,45,18.13
894,892,,10,12,22,34,9,10,15,11,0.32,1,2,7,10,0.29,11,0,0.5,16,11,19,34,12,8,14,8,0.24,4,3,5,12,0.35,3,0,0.5,,,,,,,1,55,21,54,20,0.98,0.95,54.5,20.5,53.51,19.52
864,954,,6,14,28,36,6,11,19,21,0.58,0,3,9,12,0.33,15,4,0.69,7,6,12,22,6,5,11,11,0.5,1,1,1,3,0.14,0,0,0.5,,,,,,,1.64,73,37,36,14,0.49,0.38,54.5,25.5,26.88,9.65
938,934,,6,9,16,26,6,8,12,10,0.38,0,1,4,5,0.19,7,0,0.5,9,8,15,26,8,7,11,7,0.27,1,1,4,6,0.23,6,0,0.5,,,,,,,1,41,15,39,13,0.95,0.87,40,14,38.05,12.13
886,784,,11,15,11,32,10,10,7,4,0.13,1,5,4,10,0.31,5,0,0.5,29,19,16,48,19,15,11,12,0.25,10,4,5,19,0.4,11,2,0.52,,,,,,,0.67,46,14,81,33,1.76,2.36,63.5,23.5,111.82,55.39
838,900,,10,24,16,40,7,17,10,11,0.28,3,7,6,16,0.4,5,0,0.5,18,7,14,32,13,7,10,7,0.22,5,0,4,9,0.28,6,0,0.5,,,,,,,1.25,67,27,48,16,0.72,0.59,57.5,21.5,41.19,12.74
926,888,,5,15,12,26,5,12,9,10,0.38,0,3,3,6,0.23,3,0,0.5,10,15,20,34,8,12,14,8,0.24,2,3,6,11,0.32,7,0,0.5,,,,,,,0.76,42,16,53,19,1.26,1.19,47.5,17.5,59.94,20.78
966,828,,4,7,10,20,4,7,9,7,0.35,0,0,1,1,0.05,2,2,0.55,21,10,24,40,15,8,14,11,0.28,6,2,10,18,0.45,12,0,0.5,,,,,,,0.5,30,10,69,29,2.3,2.9,49.5,19.5,113.85,56.55
922,862,,6,15,14,28,6,11,11,5,0.18,0,4,3,7,0.25,5,2,0.61,17,25,12,40,12,17,11,11,0.28,5,8,1,14,0.35,10,0,0.5,,,,,,,0.7,42,14,65,25,1.55,1.79,53.5,19.5,82.8,34.82
884,962,,11,18,15,32,9,12,11,4,0.13,2,6,4,12,0.38,6,0,0.5,11,6,5,20,9,6,5,7,0.35,2,0,0,2,0.1,4,0,0.5,,,,,,,1.6,48,16,29,9,0.6,0.56,38.5,12.5,23.26,7.03
870,718,,9,16,21,34,7,12,14,11,0.32,2,4,7,13,0.38,8,4,0.71,28,19,20,46,17,11,12,11,0.24,11,8,8,27,0.59,6,2,0.61,,,,,,,0.74,62,28,86,40,1.39,1.43,74,34,102.65,48.57
898,868,,15,7,20,32,11,7,14,10,0.31,4,0,6,10,0.31,8,0,0.5,24,15,14,40,17,11,12,11,0.28,7,4,2,13,0.33,8,0,0.5,,,,,,,0.8,52,20,64,24,1.23,1.2,58,22,71.38,26.4
896,824,,11,11,24,36,9,10,17,15,0.42,2,1,7,10,0.28,11,2,0.56,21,19,25,46,15,13,18,8,0.17,6,6,7,19,0.41,2,0,0.5,,,,,,,0.78,63,27,73,27,1.16,1,68,27,78.79,27
920,862,,8,13,14,28,7,11,10,5,0.18,1,2,4,7,0.25,5,0,0.5,18,10,23,38,13,7,16,10,0.26,5,3,7,15,0.39,6,0,0.5,,,,,,,0.74,40,12,63,25,1.58,2.08,51.5,18.5,81.11,38.54
948,878,,4,4,16,20,4,4,12,16,0.8,0,0,4,4,0.2,8,0,0.5,7,26,13,34,6,18,10,20,0.59,1,8,3,12,0.35,12,0,0.5,,,,,,,0.59,40,20,66,32,1.65,1.6,53,26,87.45,41.6
866,808,,10,13,24,38,9,11,17,16,0.42,1,2,7,10,0.26,11,0,0.5,16,27,30,52,12,19,21,11,0.21,4,8,9,21,0.4,6,2,0.56,,,,,,,0.73,64,26,86,34,1.34,1.31,75,30,100.78,39.23
956,912,,4,6,13,20,4,6,10,10,0.5,0,0,3,3,0.15,6,0,0.5,16,13,12,34,12,11,11,2,0.06,4,2,1,7,0.21,5,0,0.5,,,,,,,0.59,33,13,43,9,1.3,0.69,38,11,49.52,7.62
874,906,,12,17,22,38,10,13,15,7,0.18,2,4,7,13,0.34,8,0,0.5,9,11,22,34,8,10,16,14,0.41,1,1,6,8,0.24,10,0,0.5,,,,,,,1.12,58,20,56,22,0.97,1.1,57,21,55.03,23.1
760,908,,25,21,37,58,18,16,24,14,0.24,7,5,13,25,0.43,14,0,0.5,20,13,8,34,16,11,7,14,0.41,4,2,1,7,0.21,5,0,0.5,,,,,,,1.71,97,39,55,21,0.57,0.54,76,30,43.09,16.15
930,936,,11,10,13,30,9,9,12,6,0.2,2,1,1,4,0.13,2,0,0.5,8,8,14,24,6,7,11,9,0.38,2,1,3,6,0.25,3,0,0.5,,,,,,,1.25,40,10,39,15,0.98,1.5,39.5,12.5,38.51,18.75
916,938,,9,10,16,30,8,7,12,6,0.2,1,3,4,8,0.27,4,0,0.5,7,9,10,24,6,8,7,6,0.25,1,1,3,5,0.21,4,0,0.5,,,,,,,1.25,44,14,35,11,0.8,0.79,39.5,12.5,31.42,9.82
934,886,,13,7,11,26,10,6,10,4,0.15,3,1,1,5,0.19,4,0,0.5,14,6,24,32,10,6,16,16,0.5,4,0,8,12,0.38,12,0,0.5,,,,,,,0.81,35,9,60,28,1.71,3.11,47.5,18.5,81.43,57.56
926,920,,5,16,11,26,5,13,8,13,0.5,0,3,3,6,0.23,3,0,0.5,10,6,19,28,8,6,14,14,0.5,2,0,5,7,0.25,8,0,0.5,,,,,,,0.93,45,19,49,21,1.09,1.11,47,20,51.18,22.11
876,880,,10,17,14,36,7,12,10,6,0.17,3,5,4,12,0.33,3,0,0.5,13,19,14,36,10,14,10,6,0.17,3,5,4,12,0.33,3,0,0.5,,,,,,,1,54,18,54,18,1,1,54,18,54,18
834,790,,30,10,11,38,20,8,7,22,0.58,10,2,4,16,0.42,14,0,0.5,18,28,25,52,14,20,16,8,0.15,4,8,9,21,0.4,6,0,0.5,,,,,,,0.73,76,38,81,29,1.07,0.76,78.5,33.5,83.66,25.57
942,848,,14,9,5,24,11,8,5,9,0.38,3,1,0,4,0.17,5,0,0.5,20,24,15,42,14,17,11,9,0.21,6,7,4,17,0.4,4,2,0.52,,,,,,,0.57,37,13,70,28,1.89,2.15,53.5,20.5,101.22,44.15
824,876,,17,20,21,42,13,14,14,3,0.07,4,6,7,17,0.4,4,0,0.5,15,17,15,36,12,13,10,3,0.08,3,4,5,12,0.33,3,0,0.5,,,,,,,1.17,62,20,51,15,0.82,0.75,56.5,17.5,46.48,13.13
940,790,,8,5,18,26,7,5,14,16,0.62,1,0,4,5,0.19,7,2,0.58,17,24,24,46,13,16,15,5,0.11,4,8,9,21,0.46,6,0,0.5,,,,,,,0.57,49,23,72,26,1.47,1.13,60.5,24.5,88.9,27.7
960,960,,7,5,8,18,6,5,7,3,0.17,1,0,1,2,0.11,1,0,0.5,10,6,5,18,8,6,4,6,0.33,2,0,1,3,0.17,3,0,0.5,,,,,,,1,23,5,27,9,1.17,1.8,25,7,29.35,12.6
920,878,,11,14,13,32,10,11,11,1,0.03,1,3,2,6,0.19,3,0,0.5,14,21,17,40,11,16,13,8,0.2,3,5,4,12,0.3,3,0,0.5,,,,,,,0.8,39,7,60,20,1.54,2.86,49.5,13.5,76.15,38.57
864,894,,8,14,28,38,8,11,19,19,0.5,0,3,9,12,0.32,15,0,0.5,16,10,15,32,12,7,11,4,0.13,4,3,4,11,0.34,1,2,0.59,,,,,,,1.19,69,31,49,17,0.71,0.55,59,24,41.9,13.16
906,826,,15,8,18,32,12,7,13,7,0.22,3,1,5,9,0.28,6,0,0.5,5,40,15,42,5,26,11,36,0.86,0,14,4,18,0.43,24,2,0.62,,,,,,,0.76,48,16,98,56,2.04,3.5,73,36,149.04,126
900,868,,7,10,20,30,6,7,15,15,0.5,1,3,5,9,0.3,6,0,0.5,9,20,24,40,8,15,17,11,0.28,1,5,7,13,0.33,8,0,0.5,,,,,,,0.75,54,24,64,24,1.19,1,59,24,69.93,24
896,938,,11,16,18,34,9,12,13,5,0.15,2,4,5,11,0.32,4,0,0.5,9,14,8,26,7,12,7,10,0.38,2,2,1,5,0.19,1,0,0.5,,,,,,,1.31,50,16,41,15,0.82,0.94,45.5,15.5,37.31,14.53
844,864,,21,20,14,40,15,14,10,5,0.13,6,6,4,16,0.4,2,0,0.5,16,16,17,38,10,13,13,1,0.03,6,3,4,13,0.34,5,2,0.53,,,,,,,1.05,61,21,54,16,0.89,0.76,57.5,18.5,50.9,14.1
930,966,,8,11,15,28,7,10,11,5,0.18,1,1,4,6,0.21,6,0,0.5,7,5,8,18,6,5,7,3,0.17,1,0,1,2,0.11,1,0,0.5,,,,,,,1.56,39,11,23,5,0.59,0.45,31,8,18.28,3.64
906,912,,17,10,10,30,13,8,7,9,0.3,4,2,3,9,0.3,3,0,0.5,12,14,8,28,9,10,7,8,0.29,3,4,1,8,0.29,4,0,0.5,,,,,,,1.07,48,18,44,16,0.92,0.89,46,17,42.17,15.11
896,776,,12,15,10,30,10,10,7,3,0.1,2,5,3,10,0.33,5,0,0.5,21,28,25,50,14,19,17,7,0.14,7,9,8,24,0.48,3,0,0.5,,,,,,,0.6,43,13,81,31,1.88,2.38,62,22,116.79,52.46
960,792,,6,11,6,22,6,10,6,8,0.36,0,1,0,1,0.05,2,0,0.5,9,27,36,50,8,18,24,22,0.44,1,9,12,22,0.44,14,2,0.6,,,,,,,0.44,31,9,96,46,3.1,5.11,63.5,27.5,196.65,140.56
920,812,,6,10,21,30,6,9,15,15,0.5,0,1,6,7,0.23,11,2,0.57,16,28,11,42,10,19,7,15,0.36,6,9,4,19,0.45,8,0,0.5,,,,,,,0.71,54,24,76,34,1.41,1.42,65,29,91.48,41.08
942,898,,11,8,10,24,9,7,8,3,0.13,2,1,2,5,0.21,1,0,0.5,5,15,20,30,4,12,14,12,0.4,1,3,6,10,0.33,8,0,0.5,,,,,,,0.8,32,8,52,22,1.63,2.75,42,15,68.25,41.25
880,860,,11,14,19,36,9,10,14,6,0.17,2,4,5,11,0.31,4,0,0.5,17,12,25,40,13,9,18,14,0.35,4,3,7,14,0.35,7,0,0.5,,,,,,,0.9,53,17,68,28,1.28,1.65,60.5,22.5,77.62,37.06
908,776,,7,8,22,28,6,7,15,17,0.61,1,1,7,9,0.32,12,0,0.5,14,27,30,48,10,18,20,12,0.25,4,9,10,23,0.48,7,0,0.5,,,,,,,0.58,54,26,83,35,1.54,1.35,68.5,30.5,105.29,41.06
914,846,,17,5,17,30,13,5,12,9,0.3,4,0,5,9,0.3,6,0,0.5,12,25,18,40,10,18,12,14,0.35,2,7,6,15,0.38,6,0,0.5,,,,,,,0.75,48,18,69,29,1.44,1.61,58.5,23.5,84.09,37.86
936,866,,3,11,16,24,3,9,12,12,0.5,0,2,4,6,0.25,6,2,0.63,13,14,15,36,11,10,10,3,0.08,2,4,5,11,0.31,4,0,0.5,,,,,,,0.67,44,20,50,14,1.14,0.7,47,17,53.41,11.9
940,926,,6,10,10,24,6,7,9,3,0.13,0,3,1,4,0.17,5,0,0.5,8,3,19,24,7,3,14,18,0.75,1,0,5,6,0.25,9,0,0.5,,,,,,,1,31,7,48,24,1.55,3.43,39.5,15.5,61.16,53.14
934,852,,3,14,14,26,3,11,12,10,0.38,0,3,2,5,0.19,4,2,0.58,9,24,20,38,8,16,14,10,0.26,1,8,6,15,0.39,9,0,0.5,,,,,,,0.68,43,17,63,25,1.47,1.47,53,21,77.65,30.88
676,676,,30,31,31,66,20,21,17,9,0.14,10,10,14,34,0.52,8,0,0.5,21,37,33,66,15,24,17,15,0.23,6,13,16,35,0.53,13,2,0.61,,,,,,,1,109,43,118,52,1.08,1.21,113.5,47.5,122.87,57.44
952,882,,8,7,10,22,8,6,8,2,0.09,0,1,2,3,0.14,3,0,0.5,13,19,15,36,10,15,11,9,0.25,3,4,4,11,0.31,1,0,0.5,,,,,,,0.61,27,5,56,20,2.07,4,41.5,12.5,86.07,50
892,698,,11,13,23,38,10,12,16,10,0.26,1,1,7,9,0.24,12,2,0.58,34,23,23,54,22,14,14,12,0.22,12,9,9,30,0.56,6,2,0.52,,,,,,,0.7,59,21,98,44,1.66,2.1,78.5,32.5,130.39,68.1
916,776,,14,6,15,30,11,6,10,9,0.3,3,0,5,8,0.27,7,0,0.5,18,34,20,52,14,23,13,17,0.33,4,11,7,22,0.42,11,0,0.5,,,,,,,0.58,47,17,91,39,1.94,2.29,69,28,133.6,64.24
906,842,,10,11,20,34,9,10,15,11,0.32,1,1,5,7,0.21,8,0,0.5,21,6,25,38,14,6,17,13,0.34,7,0,8,15,0.39,9,0,0.5,,,,,,,0.89,52,18,66,28,1.27,1.56,59,23,74.88,35.78
882,938,,14,17,20,40,12,13,15,5,0.13,2,4,5,11,0.28,4,0,0.5,14,11,5,24,10,9,5,6,0.25,4,2,0,6,0.25,6,0,0.5,,,,,,,1.67,56,16,36,12,0.64,0.75,46,14,29.57,10.5
956,924,,6,8,9,20,5,7,8,4,0.2,1,1,1,3,0.15,0,0,0.5,7,13,10,24,5,10,7,6,0.25,2,3,3,8,0.33,1,0,0.5,,,,,,,0.83,27,7,38,14,1.41,2,32.5,10.5,45.74,21
884,926,,3,18,20,30,3,12,15,15,0.5,0,6,5,11,0.37,7,0,0.5,6,14,15,30,6,12,12,6,0.2,0,2,3,5,0.17,4,0,0.5,,,,,,,1,56,26,41,11,0.73,0.42,48.5,18.5,35.51,7.83
