Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQr2,BQa1,BQa2,CQ1,CQ2
940,914,,7,10,12,24,6,9,9,3,0.13,1,1,3,5,0.21,4,0,0.5,18,13,8,30,13,10,7,9,0.3,5,3,1,9,0.3,6,0,0.5,,,,,,,0.8,32,8,48,18,1.5,2.25,40,13,60,29.25
914,898,,3,15,16,26,3,12,11,10,0.38,0,3,5,8,0.31,7,0,0.5,15,13,14,32,11,9,12,4,0.13,4,4,2,10,0.31,2,0,0.5,,,,,,,0.81,44,18,46,14,1.05,0.78,45,16,47.05,12.44
940,860,,10,5,15,26,9,5,12,10,0.38,1,0,3,4,0.15,5,0,0.5,14,11,22,36,11,9,14,12,0.33,3,2,8,13,0.36,11,0,0.5,,,,,,,0.72,40,14,61,25,1.53,1.79,50.5,19.5,77.01,34.82
936,926,,10,13,8,26,8,10,8,4,0.15,2,3,0,5,0.19,4,0,0.5,9,16,9,26,7,12,7,10,0.38,2,4,2,8,0.31,4,0,0.5,,,,,,,1,35,9,44,18,1.26,2,39.5,13.5,49.66,27
842,706,,12,19,18,38,10,14,10,4,0.11,2,5,8,15,0.39,9,4,0.61,24,27,33,64,17,19,17,20,0.31,7,8,16,31,0.48,17,0,0.5,,,,,,,0.59,61,23,115,51,1.89,2.22,88,37,165.9,82.04
898,906,,5,10,20,28,5,7,13,11,0.39,0,3,7,10,0.36,11,0,0.5,9,13,19,32,7,11,14,10,0.31,2,2,5,9,0.28,6,0,0.5,,,,,,,0.88,49,21,51,19,1.04,0.9,50,20,52.04,18.1
922,876,,8,14,10,28,7,11,7,5,0.18,1,3,3,7,0.25,2,2,0.54,13,20,14,36,10,15,10,9,0.25,3,5,4,12,0.33,3,0,0.5,,,,,,,0.78,42,14,57,21,1.36,1.5,49.5,17.5,67.18,26.25
958,830,,3,6,12,18,3,6,9,9,0.5,0,0,3,3,0.17,6,0,0.5,16,20,21,44,13,15,14,4,0.09,3,5,7,15,0.34,6,0,0.5,,,,,,,0.41,30,12,63,19,2.1,1.58,46.5,15.5,97.65,24.54
966,926,,11,5,4,18,9,5,4,9,0.5,2,0,0,2,0.11,4,0,0.5,9,9,16,28,7,9,12,8,0.29,2,0,4,6,0.21,6,0,0.5,,,,,,,0.64,29,11,42,14,1.45,1.27,35.5,12.5,51.41,15.91
844,714,,8,15,26,36,7,10,17,18,0.5,1,5,9,15,0.42,12,2,0.61,26,36,16,54,16,23,12,15,0.28,10,13,4,27,0.5,12,4,0.7,,,,,,,0.67,71,35,100,46,1.41,1.31,85.5,40.5,120.42,53.23
864,894,,13,15,26,42,11,12,19,15,0.36,2,3,7,12,0.29,9,0,0.5,8,10,17,26,6,8,10,10,0.38,2,2,7,11,0.42,10,0,0.5,,,,,,,1.62,69,27,47,21,0.68,0.78,58,24,39.51,18.67
882,802,,9,3,30,30,7,3,20,30,1,2,0,10,12,0.4,18,2,0.57,23,12,22,40,14,9,14,11,0.28,9,3,8,20,0.5,7,0,0.5,,,,,,,0.75,74,44,71,31,0.96,0.7,72.5,37.5,69.56,26.42
910,922,,3,19,17,30,3,14,13,12,0.4,0,5,4,9,0.3,6,2,0.57,12,11,13,28,9,9,10,2,0.07,3,2,3,8,0.29,1,0,0.5,,,,,,,1.07,53,23,38,10,0.72,0.43,45.5,16.5,32.62,7.17
922,914,,11,15,11,32,11,11,10,1,0.03,0,4,1,5,0.16,7,0,0.5,18,8,14,32,14,7,11,10,0.31,4,1,3,8,0.25,4,0,0.5,,,,,,,1,38,6,50,18,1.32,3,44,12,57.89,36
800,876,,13,25,22,42,11,16,14,6,0.14,2,9,8,19,0.45,8,0,0.5,14,22,14,38,11,16,10,10,0.26,3,6,4,13,0.34,5,0,0.5,,,,,,,1.11,67,25,61,23,0.91,0.92,64,24,58.27,22.08
952,904,,10,12,3,22,9,10,3,8,0.36,1,2,0,3,0.14,3,0,0.5,19,11,13,34,14,9,11,8,0.24,5,2,2,9,0.26,6,0,0.5,,,,,,,0.65,33,11,51,17,1.55,1.55,42,14,64.91,21.64
832,808,,18,12,21,38,10,9,16,10,0.26,8,3,5,16,0.42,8,4,0.76,20,16,21,46,16,10,14,2,0.04,4,6,7,17,0.37,4,0,0.5,,,,,,,0.83,68,30,65,19,0.96,0.63,66.5,24.5,63.57,15.52
792,840,,22,19,18,44,16,12,12,4,0.09,6,7,6,19,0.43,2,0,0.5,20,11,28,42,14,9,19,15,0.36,6,2,9,17,0.4,10,0,0.5,,,,,,,1.05,67,23,74,32,1.1,1.39,70.5,27.5,77.87,38.26
878,818,,15,8,21,34,11,7,14,14,0.41,4,1,7,12,0.35,9,0,0.5,15,19,25,44,10,14,18,10,0.23,5,5,7,17,0.39,4,2,0.57,,,,,,,0.77,60,26,73,29,1.22,1.12,66.5,27.5,80.91,30.67
728,808,,18,32,26,58,14,17,18,20,0.34,4,15,8,27,0.47,18,2,0.64,18,22,28,48,14,15,19,9,0.19,4,7,9,20,0.42,7,0,0.5,,,,,,,1.21,107,49,77,29,0.72,0.59,92,39,66.21,23.08
966,876,,4,7,8,18,4,7,7,3,0.17,0,0,1,1,0.06,2,0,0.5,14,16,21,38,11,12,15,7,0.18,3,4,6,13,0.34,5,0,0.5,,,,,,,0.47,22,4,58,20,2.64,5,40,12,105.45,60
966,720,,8,3,9,18,7,3,8,6,0.33,1,0,1,2,0.11,1,0,0.5,22,18,33,50,16,14,19,10,0.2,6,4,14,24,0.48,18,2,0.68,,,,,,,0.36,26,8,86,36,3.31,4.5,56,22,185.23,99
928,848,,8,19,4,24,7,13,4,15,0.63,1,6,0,7,0.29,11,2,0.67,13,25,16,40,10,18,10,14,0.35,3,7,6,16,0.4,5,0,0.5,,,,,,,0.6,48,24,70,30,1.46,1.25,59,27,86.04,33.75
918,848,,11,3,20,26,9,3,14,16,0.62,2,0,6,8,0.31,10,0,0.5,12,29,10,38,11,18,9,16,0.42,1,11,1,13,0.34,20,0,0.5,,,,,,,0.68,50,24,67,29,1.34,1.21,58.5,26.5,78.39,32.02
946,954,,7,8,14,24,6,7,11,9,0.38,1,1,3,5,0.21,4,2,0.58,6,5,12,20,5,5,10,10,0.5,1,0,2,3,0.15,3,0,0.5,,,,,,,1.2,40,16,33,13,0.83,0.81,36.5,14.5,30.11,11.78
954,822,,7,5,12,22,6,5,11,11,0.5,1,0,1,2,0.09,1,0,0.5,23,17,15,40,16,10,12,8,0.2,7,7,3,17,0.43,4,0,0.5,,,,,,,0.55,35,13,65,25,1.86,1.92,50,19,92.86,36.54
938,864,,9,7,13,24,8,6,10,6,0.25,1,1,3,5,0.21,4,0,0.5,16,17,21,40,12,13,15,5,0.13,4,4,6,14,0.35,4,0,0.5,,,,,,,0.6,35,11,59,19,1.69,1.73,47,15,79.23,25.91
704,892,,33,22,17,52,18,15,13,20,0.38,15,7,4,26,0.5,19,2,0.65,21,11,14,36,15,9,12,9,0.25,6,2,2,10,0.28,8,2,0.56,,,,,,,1.44,100,48,57,21,0.57,0.44,78.5,34.5,44.75,15.09
934,908,,3,10,14,22,3,8,10,11,0.5,0,2,4,6,0.27,6,0,0.5,10,14,15,30,7,11,12,6,0.2,3,3,3,9,0.3,0,0,0.5,,,,,,,0.73,39,17,45,15,1.15,0.88,42,16,48.46,14.12
