ID,Type,CodeName,Gender,Age,Educ,BusExp,PrevFound,QFounded,PrevWorked,QWorked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQR2,BQa1,BQa2,CQ1,CQ2,FQ1,FQ2,CapAction
17,E,R12LSV,1,45,5,15,0,0,0,0,0,0,1,0.830,0.536,3,24,18,21,44,16,13,15,4,9,8,5,6,19,43,5,4,64,24,43,45,70,16,27,27,11,16,8,16,18,42,60,12,6,80,-12,-5,5,-16,-21,-5,62.857,71,27,129.0,59,1.817,2.185,100.0,43.0,181.7,94.0,26.50,43.00,43.00
18,E,R18LSV,1,40,4,18,1,2,0,0,1,60,1,0.912,0.826,4,9,6,21,28,8,5,15,17,61,1,1,6,8,29,10,0,50,15,25,26,48,12,18,18,6,12,3,7,8,18,38,6,0,50,2,-3,1,-8,-10,18,58.333,53,25,72.0,24,1.358,0.960,62.5,24.5,84.9,23.5,44.50,30.00,30.00
19,E,R28LSV,2,27,4,6,0,0,0,0,1,10,1,0.910,0.836,10,10,15,14,30,8,12,10,6,20,2,3,4,9,30,3,2,57,16,25,21,44,11,18,15,10,23,5,7,6,18,41,3,0,50,2,-12,6,-11,-4,15,68.182,47,17,72.0,28,1.532,1.647,59.5,22.5,91.1,37.1,25.00,33.50,29.00
20,E,R001RG,1,29,4,5,0,0,0,0,0,0,0,0.922,0.874,3,14,11,13,32,11,10,11,1,3,3,1,2,6,19,3,2,59,15,7,27,36,11,7,18,18,50,4,0,9,13,36,14,2,53,1,-2,-5,-7,-1,6,88.889,41,9,69.0,33,1.683,3.667,55.0,21.0,92.6,77.0,17.50,43.00,18.00
21,E,R002RG,1,35,3,13,0,0,0,0,0,0,0,0.914,0.904,3,19,10,11,32,14,9,9,10,31,5,1,2,8,25,7,2,56,15,11,15,32,11,9,12,4,13,4,2,3,9,28,3,0,50,0,-7,3,-3,-5,8,100.000,52,20,45.0,13,0.870,0.650,49.0,17.0,55.0,23.0,31.50,22.50,20.00
22,E,R003RG,2,58,3,25,0,0,0,0,0,0,0,0.880,0.866,2,14,18,13,32,10,13,9,7,22,4,5,4,13,41,2,2,63,11,19,22,38,8,15,15,7,18,3,4,7,14,37,7,0,50,-8,-7,7,-8,-7,15,84.211,54,22,59.0,21,1.090,0.950,57.0,22.0,62.0,23.0,27.00,28.00,23.00
23,E,R004RG,2,29,3,8,0,0,0,0,0,0,0,0.958,0.806,4,8,6,10,22,8,6,8,2,9,0,0,2,2,9,4,0,50,28,9,28,46,18,9,19,11,24,10,0,9,19,41,11,0,50,-2,-2,4,-14,3,11,47.826,26,4,76.0,30,2.920,7.500,51.0,17.0,149.0,128.0,15.50,35.00,27.00
24,E,R005RG,2,38,3,22,0,0,0,0,1,1,0,0.950,0.740,5,6,11,9,22,5,9,8,5,23,1,2,1,4,18,2,2,64,24,19,36,52,16,13,23,17,33,8,6,13,27,52,12,0,50,1,-3,-4,-14,-1,15,42.308,33,11,96.0,44,2.910,4.000,65.0,28.0,189.0,112.0,22.50,42.50,29.00
25,E,R006RG,1,47,3,23,1,1,1,7,0,0,1,0.926,0.922,4,13,7,14,28,10,7,11,5,18,3,0,3,6,21,3,0,50,8,17,11,30,8,13,9,9,30,0,4,2,6,20,6,0,50,-4,-3,7,0,-3,3,93.333,39,11,45.0,15,1.150,1.360,42.0,13.0,48.0,18.0,23.00,30.00,21.00
26,E,R007RG,2,23,3,0,0,0,0,0,0,0,0,0.926,0.912,6,6,9,17,26,6,8,12,10,38,0,1,5,6,23,9,0,50,14,16,10,32,11,13,8,7,22,3,3,2,8,25,1,2,59,0,0,0,-3,3,-6,81.250,42,16,49.0,17,1.170,1.060,46.0,17.0,54.0,18.0,32.00,27.00,24.00
27,E,R008RG,1,42,3,12,0,0,0,0,0,0,0,0.928,0.946,4,8,6,20,28,7,6,15,17,61,1,0,5,6,21,9,2,54,14,8,5,24,11,8,5,9,38,3,0,0,3,13,6,0,50,-1,0,-1,-5,0,5,116.667,53,25,36.0,12,0.680,0.680,45.0,19.0,59.0,29.0,44.50,31.00,19.00
28,E,R009RG,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.904,0.860,4,15,10,19,36,13,9,14,6,17,2,1,5,8,22,7,0,50,24,18,12,40,17,14,9,11,28,7,4,3,14,35,7,0,50,5,-7,2,-11,6,5,90.000,50,14,65.0,25,1.300,1.790,58.0,20.0,75.0,36.0,26.50,34.00,31.00
29,E,R010RG,1,35,3,1,0,0,0,0,0,0,1,0.880,0.948,4,10,6,28,34,9,6,19,23,68,1,0,9,10,29,17,0,50,13,10,4,24,11,9,4,9,38,2,1,0,3,13,3,0,50,-3,-2,5,-1,1,0,141.667,67,33,36.0,12,0.540,0.360,52.0,23.0,76.0,38.0,51.00,31.00,20.00
30,E,R011RG,1,45,5,15,0,0,0,0,1,1,1,0.890,0.896,4,10,9,26,36,9,9,18,18,50,1,0,8,9,25,15,4,64,18,15,10,32,13,12,7,7,22,5,3,3,11,34,4,2,56,1,-3,-8,-7,-2,5,112.500,67,31,52.0,20,0.780,0.650,60.0,26.0,73.0,35.0,43.00,27.00,25.00
31,E,R012RG,2,23,3,2,0,0,0,0,0,0,0,0.826,0.620,3,23,15,19,40,15,11,14,5,13,8,4,5,17,43,7,0,50,54,21,34,72,33,16,23,27,38,21,5,11,37,51,26,6,74,-13,3,10,-23,4,-15,55.556,62,22,142.0,70,2.290,3.180,102.0,46.0,24.0,146.0,26.50,55.00,49.00
32,E,R013RG,1,39,1,6,0,0,0,0,0,0,0,0.722,0.554,3,38,15,27,56,25,12,19,19,34,13,3,8,24,43,15,2,64,30,23,62,72,19,17,36,36,50,11,6,26,43,60,35,6,67,-25,-2,11,-15,1,-10,77.778,101,45,157.0,85,1.550,1.890,129.0,65.0,200.0,123.0,45.00,61.00,36.00
33,E,R014RG,2,58,#NULL!,1,0,0,0,0,1,1,0,0.914,0.802,3,16,10,13,32,12,9,11,4,13,4,1,2,7,22,5,2,56,21,20,24,46,14,15,17,5,11,7,5,7,19,41,2,0,50,-6,5,-3,-14,-1,15,69.565,45,13,70.0,24,1.560,1.850,58.0,19.0,90.0,35.0,22.50,28.50,29.00
34,E,R015RG,2,25,3,3,0,0,0,0,0,0,0,0.576,0.812,1,40,39,21,64,24,25,15,11,17,16,14,6,36,56,12,4,72,17,24,20,44,13,16,15,4,9,4,8,5,17,39,7,2,55,-20,-17,9,-11,-8,15,145.455,115,51,67.0,23,0.580,0.450,91.0,37.0,129.0,57.0,40.50,26.50,29.00
35,E,R016RG,2,23,1,0,0,0,0,0,0,0,0,0.894,0.888,5,10,21,15,36,8,16,12,12,33,2,5,3,10,28,5,2,64,6,28,10,34,6,20,8,26,76,0,8,2,10,29,14,0,50,4,-8,-6,-4,0,4,105.882,60,24,70.0,36,1.170,1.500,65.0,30.0,76.0,45.0,34.50,55.00,26.00
36,E,R017RG,2,37,3,14,0,0,0,0,0,0,1,0.880,0.950,6,10,20,22,40,9,15,16,8,20,1,5,6,12,30,6,2,58,12,8,7,24,10,8,6,6,25,2,0,1,3,13,3,0,50,1,-9,2,-6,2,4,166.670,62,22,33.0,9,0.530,0.410,48.0,16.0,71.0,25.0,30.00,24.50,18.00
37,E,R018RG,1,52,3,30,0,0,1,1,0,0,1,0.950,0.884,7,11,10,8,26,10,9,7,4,15,1,1,1,3,12,0,0,50,18,12,15,34,13,10,11,5,15,5,2,4,11,32,4,0,50,2,-5,3,-13,2,11,76.471,33,7,50.0,16,1.520,2.290,42.0,12.0,64.0,27.0,20.50,24.50,23.00
38,E,R019RG,1,25,3,6,0,0,0,0,1,1,1,0.964,0.786,8,8,5,8,20,8,5,7,4,20,0,0,1,1,5,2,0,50,16,31,19,44,12,19,13,13,30,4,12,6,22,50,14,0,50,-2,-3,5,-6,-3,9,45.455,25,5,79.0,35,3.160,7.000,52.0,20.0,164.0,140.0,20.00,37.00,31.00
39,E,R020RG,1,41,4,12,0,0,0,0,0,0,1,0.892,0.782,10,12,17,17,34,9,12,13,5,15,3,5,4,12,35,3,2,59,17,28,23,46,12,19,15,11,24,5,9,8,22,48,5,0,50,-1,-4,-1,-6,-9,15,73.913,53,19,79.0,33,1.490,1.740,66.0,26.0,98.0,45.0,24.50,35.00,31.00
40,E,R021RG,1,50,3,30,1,1,1,2,0,0,1,0.790,0.750,4,23,15,30,46,15,12,19,11,24,8,3,11,22,48,11,4,67,18,36,28,56,13,24,19,16,29,5,12,9,26,46,10,0,50,-7,-4,-5,-13,0,13,82.143,83,37,98.0,42,1.180,1.140,91.0,40.0,107.0,46.0,35.00,42.50,37.00
41,E,R022RG,1,22,3,2,0,0,0,0,0,0,0,0.910,0.786,4,10,7,21,30,8,7,15,15,50,2,0,6,8,27,10,0,50,21,26,23,48,15,17,16,3,6,6,9,7,22,46,5,0,50,0,-1,1,-11,3,8,62.500,53,23,73.0,25,1.380,1.090,63.0,24.0,87.0,26.0,40.00,27.00,32.00
42,E,R023RG,1,52,3,30,0,0,1,1,0,0,1,0.950,0.884,1,11,10,8,26,10,9,7,4,15,1,1,1,3,12,0,0,50,18,12,15,34,13,10,11,5,15,5,2,4,11,32,4,0,50,2,-5,3,-13,2,11,76.471,33,7,50.0,16,1.520,2.290,42.0,12.0,64.0,27.0,20.50,24.50,23.00
43,E,R024RG,1,21,1,0,0,0,0,0,0,0,0,0.918,0.854,10,8,15,15,30,6,12,12,6,20,2,3,3,8,27,1,2,57,10,23,21,40,8,17,15,11,28,2,6,6,14,35,4,0,50,-2,2,-4,-8,-5,13,75.000,46,16,65.0,25,1.410,1.560,56.0,21.0,79.0,33.0,25.00,34.00,25.00
44,E,R025RG,1,19,1,0,0,0,0,0,1,3,1,0.898,0.868,2,12,24,11,38,11,17,10,13,34,1,7,1,9,24,12,4,63,19,12,21,40,14,11,15,5,13,5,1,6,12,30,6,0,50,-5,-5,0,-6,-1,7,95.000,64,26,57.0,17,0.890,0.650,61.0,22.0,68.0,30.0,36.00,26.50,25.00
45,E,R026RG,1,28,3,8,0,0,0,0,1,0,1,0.926,0.808,6,10,11,15,30,8,9,13,9,30,2,2,2,6,20,0,2,53,24,24,19,48,16,18,14,6,13,8,6,5,19,40,5,4,63,-6,3,1,-16,-6,10,62.500,47,17,77.0,29,1.640,1.710,62.0,23.0,102.0,39.0,30.00,30.50,34.00
46,E,R027RG,1,29,4,4,0,0,0,0,0,0,1,0.830,0.862,6,13,18,30,44,11,13,20,16,36,2,5,10,17,39,13,2,55,20,11,21,40,15,10,15,5,13,5,1,6,12,30,6,0,50,-9,-1,6,-7,-4,11,110.000,79,35,57.0,17,0.720,0.490,68.0,26.0,87.0,39.0,40.00,26.50,25.00
47,E,R028RG,2,29,4,2,0,0,0,0,0,0,0,0.898,0.856,3,17,9,15,32,12,9,11,4,13,5,0,4,9,28,6,2,53,18,20,12,36,13,14,9,6,17,5,6,3,14,39,4,0,50,-4,-1,3,-13,4,9,88.889,47,15,56.0,20,1.190,1.330,52.0,18.0,62.0,24.0,22.50,26.50,27.00
48,E,R030RG,1,32,4,10,0,0,0,0,0,0,0,0.892,0.866,6,8,9,30,36,7,8,21,27,75,1,1,9,11,31,16,2,58,16,24,10,36,12,16,8,12,33,4,8,2,14,39,10,0,50,1,-4,-3,-6,-2,8,100.000,76,40,62.0,26,0.800,0.700,69.0,33.0,81.0,45.0,55.50,34.50,28.00
49,E,R031RG,1,21,1,0,0,0,1,1,0,0,1,0.802,0.886,3,26,18,20,46,18,14,14,8,17,8,4,6,18,39,6,0,50,16,12,19,36,12,10,14,6,17,4,2,5,11,31,4,0,50,-12,8,4,-10,-4,14,127.778,72,26,53.0,17,0.700,0.700,63.0,22.0,79.0,30.0,31.50,26.50,22.00
