ID,Type,CodeName,Gender,Age,Educ,BusExp,PrevFound,QFounded,PrevWorked,QWorked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQR2,BQa1,BQa2,CQ1,CQ2,FQ1,FQ2,CapAction
70,E,R052RG,1,26,1,9,0,0,1,2,1,0,1,0.870,0.916,6,6,23,24,40,6,17,17,11,28,0,6,7,13,33,8,4,70,12,19,5,28,9,14,5,14,50,3,5,0,8,29,7,0,50,2,-9,-9,-3,2,1,142.857,68,28,50.0,22,0.700,0.800,59.0,25.0,74.0,30.0,34.00,39.00,23.00
71,E,R053RG,1,21,1,0,0,0,0,0,0,0,0,0.868,0.860,3,21,9,19,36,15,7,14,9,25,6,2,5,13,36,5,0,50,18,26,12,42,14,18,10,12,29,4,8,2,14,33,10,2,55,-7,3,4,-10,8,-2,85.714,58,22,70.0,28,1.200,1.300,64.0,25.0,77.0,32.0,30.50,35.50,32.00
72,E,R054RG,2,29,3,1,0,0,0,0,0,0,0,0.898,0.812,1,18,17,6,32,12,14,6,10,31,6,3,0,9,28,9,0,50,19,28,20,48,15,19,14,9,19,4,9,6,19,40,8,0,50,-6,4,2,-15,3,12,66.667,51,19,76.0,28,1.500,1.500,64.0,24.0,95.0,35.0,31.50,33.50,34.00
73,E,R055RG,1,23,3,0,0,0,0,0,1,2,0,0.812,0.904,3,28,15,20,44,19,11,14,13,30,9,4,6,19,43,8,2,61,12,10,19,32,9,9,14,10,31,3,1,5,9,28,6,0,50,-11,1,0,-9,-3,12,137.500,78,34,51.0,19,0.700,0.600,65.0,27.0,88.0,39.0,37.00,31.50,18.00
74,E,R056RG,1,31,4,0,0,0,0,0,1,1,1,0.944,0.900,3,13,6,9,24,10,6,8,6,25,3,0,1,4,17,5,0,50,11,16,15,32,8,13,11,7,22,3,3,4,10,31,2,0,50,2,2,-4,-6,-3,9,75.000,34,10,49.0,17,1.400,1.700,42.0,14.0,60.0,24.0,24.50,27.00,21.00
75,E,R057RG,1,30,1,15,0,0,0,0,0,0,1,0.752,0.732,4,15,13,52,54,12,10,32,42,78,3,3,20,26,48,34,6,80,13,41,24,54,11,26,17,24,44,2,15,7,24,44,21,2,67,-4,-10,-18,1,-20,1,100.000,128,74,104.0,50,0.800,0.700,116.0,62.0,138.0,82.0,66.00,49.00,37.00
76,E,R058RG,1,35,4,15,0,0,0,0,0,0,1,0.946,0.842,6,4,11,14,26,4,10,12,10,38,0,1,2,3,12,3,2,58,7,31,18,40,6,21,13,23,58,1,10,5,16,40,14,2,58,2,-6,0,-6,-5,5,65.000,41,15,81.0,41,2.000,2.700,61.0,28.0,121.0,76.0,32.00,49.00,27.00
77,E,R059RG,1,28,3,1,0,0,0,0,0,0,0,0.910,0.860,3,22,5,12,30,16,5,9,18,60,6,0,3,9,30,9,2,53,13,27,14,40,9,19,12,17,43,4,8,2,14,35,10,4,65,-6,3,1,-1,-7,-4,75.000,59,29,75.0,35,1.300,1.200,67.0,32.0,85.0,39.0,45.00,41.50,28.00
78,E,R060RG,1,35,4,10,1,2,1,3,1,1,0,0.888,0.810,4,17,11,20,38,13,10,15,7,18,4,1,5,10,26,5,2,53,18,25,24,48,13,18,17,6,13,5,7,7,19,40,2,2,54,1,0,-3,-3,-12,11,79.167,57,19,75.0,27,1.300,1.400,69.0,23.0,87.0,33.0,28.00,25.50,31.00
79,E,R061RG,2,34,3,11,0,0,0,0,0,0,0,0.916,0.902,10,11,13,13,30,10,10,10,0,0,1,3,3,7,23,2,0,50,15,18,7,32,12,13,7,7,22,3,5,0,8,25,7,0,50,-6,4,2,-12,5,7,93.750,37,7,47.0,15,1.300,2.100,42.0,11.0,53.0,24.0,15.00,27.00,25.00
80,E,R062RG,1,55,1,33,0,0,0,0,0,0,0,0.946,0.854,5,4,13,9,22,4,10,8,8,36,0,3,1,4,18,5,0,50,17,8,25,36,12,7,17,15,42,5,1,8,14,39,10,2,53,-2,2,0,-4,-3,5,61.111,34,12,67.0,31,2.000,2.600,51.0,22.0,100.0,57.0,29.00,39.00,19.00
81,E,R063RG,2,39,4,22,0,0,1,5,0,0,99,0.820,0.926,1,30,17,15,44,20,13,11,16,36,10,4,4,18,41,12,0,50,4,12,19,28,4,10,14,14,50,0,2,5,7,25,8,2,61,-10,-1,11,0,-4,-2,157.143,78,34,51.0,23,0.700,0.700,65.0,29.0,88.0,38.0,40.00,39.00,14.00
82,E,R064RG,2,52,3,28,0,0,0,0,0,0,0,0.940,0.932,6,3,11,15,24,3,9,12,12,50,0,2,3,5,21,4,2,67,13,4,15,26,10,4,12,10,38,3,0,3,6,23,3,0,50,1,-5,-4,-10,-2,12,92.308,43,19,42.0,16,1.000,0.800,43.0,18.0,44.0,21.0,37.00,32.00,14.00
83,E,R065RG,2,40,5,5,0,0,0,0,0,0,0,0.928,0.764,6,6,11,17,30,6,10,14,12,40,0,1,3,4,13,5,2,57,20,24,32,52,14,17,21,11,21,6,7,11,24,46,9,2,58,-2,-2,0,-10,-11,13,57.692,48,18,89.0,37,1.900,2.100,69.0,28.0,128.0,58.0,35.00,36.50,31.00
84,E,R066RG,1,33,4,10,0,0,0,0,0,0,1,0.896,0.706,9,18,15,15,38,14,12,12,4,11,4,3,3,10,26,2,2,55,18,37,34,58,12,23,23,11,19,6,14,11,31,53,11,2,59,-2,-6,4,-6,-5,1,65.517,54,16,102.0,44,1.900,2.800,78.0,30.0,147.0,83.0,24.50,38.50,35.00
85,E,RO67RG,2,20,3,1,0,0,0,0,0,0,0,0.874,0.822,4,14,13,16,30,10,9,11,3,10,4,4,5,13,43,2,0,50,16,23,23,44,13,17,14,7,16,3,6,9,18,41,9,0,50,-2,-1,3,-13,-1,14,68.182,46,16,69.0,25,1.500,1.600,58.0,21.0,87.0,33.0,20.00,30.00,30.00
86,E,R068RG,1,19,1,2,1,1,0,0,0,0,1,0.740,0.760,2,26,35,22,56,18,23,15,13,23,8,12,7,27,48,9,2,59,34,13,18,44,21,10,13,19,43,13,3,5,21,48,18,2,55,-10,-9,9,-11,8,-1,127.273,98,42,86.0,42,0.900,1.000,92.0,42.0,103.0,42.0,39.50,43.50,15.50
87,E,R069RG,1,23,3,5,0,0,0,0,0,0,0,0.872,0.700,4,14,9,18,28,10,7,11,5,18,4,2,7,13,46,8,0,50,47,15,7,46,28,11,7,38,83,19,4,0,23,50,34,2,72,-8,3,5,-18,-3,1,60.870,46,18,109.0,63,2.400,3.500,78.0,41.0,185.0,144.0,23.00,64.50,19.50
88,E,R070RG,1,45,4,17,0,0,0,0,0,0,1,0.920,0.860,11,11,14,11,32,10,11,11,1,3,1,3,0,4,13,5,0,50,9,21,23,42,9,16,17,9,21,0,5,6,11,26,7,0,50,0,3,-3,-3,-10,13,76.190,37,5,62.0,20,1.700,4.000,50.0,13.0,84.0,52.0,17.50,31.50,25.00
89,E,R071RG,1,20,1,0,0,0,0,0,0,0,1,0.894,0.894,1,20,14,11,36,15,11,10,9,25,5,3,3,9,25,6,0,50,10,23,8,32,8,16,8,16,50,2,7,0,9,28,12,0,50,-5,5,0,-8,4,4,112.500,54,18,57.0,25,1.100,1.400,56.0,22.0,59.0,31.0,30.50,41.00,24.00
90,E,R072RG,2,31,1,5,0,0,0,0,0,0,1,0.882,0.910,3,23,10,17,40,17,9,14,11,28,6,1,3,10,25,8,2,55,16,6,20,34,13,6,15,11,32,3,0,5,8,24,7,0,50,-7,3,0,-7,-2,9,117.647,63,23,53.0,19,0.800,0.800,58.0,21.0,67.0,25.0,34.00,33.00,19.00
92,E,R074RG,1,29,4,4,0,0,0,0,1,2,1,0.894,0.922,4,14,8,22,34,11,8,15,11,32,3,0,7,10,29,11,2,53,14,13,7,26,10,10,6,4,15,4,3,1,8,31,4,0,50,1,-2,-1,-8,8,0,130.769,57,23,38.0,12,0.700,0.500,48.0,18.0,64.0,27.0,33.00,20.50,20.00
